cat,F,M,uni
Laureati/e,-45.60639070442992,54.39360929557008,"Roma - Università degli studi di ""Tor Vergata"""
Iscritti/e,-40.34671099501306,59.653289004986945,"Roma - Università degli studi di ""Tor Vergata"""
Prof. Ordinari/e,-25.072046109510087,74.92795389048992,"Roma - Università degli studi ""La Sapienza"""
Prof. Associati/e,-36.44859813084112,63.55140186915887,"Roma - Università degli studi ""La Sapienza"""
Ricercatori/Ricercatrici,-40.707964601769916,59.29203539823009,"Roma - Università degli studi ""La Sapienza"""
Assegnisti/e di Ricerca,-40.563991323210416,59.436008676789584,"Roma - Università degli studi ""La Sapienza"""
Dottori/Dottoresse,-49.859154929577464,50.140845070422536,"Roma - Università degli studi ""La Sapienza"""
Dottorandi/e,-44.49463579898362,55.50536420101637,"Roma - Università degli studi ""La Sapienza"""
Laureati/e,-43.91210969767057,56.08789030232943,"Roma - Università degli studi ""La Sapienza"""
Iscritti/e,-41.190165766436955,58.80983423356305,"Roma - Università degli studi ""La Sapienza"""
Prof. Ordinari/e,-20.0,80.0,Viterbo - Università della Tuscia
Prof. Associati/e,-32.5,67.5,Viterbo - Università della Tuscia
Ricercatori/Ricercatrici,-47.72727272727273,52.27272727272727,Viterbo - Università della Tuscia
Assegnisti/e di Ricerca,-57.14285714285714,42.857142857142854,Viterbo - Università della Tuscia
Dottori/Dottoresse,-40.909090909090914,59.09090909090909,Viterbo - Università della Tuscia
Dottorandi/e,-35.714285714285715,64.28571428571429,Viterbo - Università della Tuscia
Laureati/e,-65.52706552706553,34.472934472934476,Viterbo - Università della Tuscia
Iscritti/e,-59.75733063700708,40.24266936299292,Viterbo - Università della Tuscia
Prof. Ordinari/e,-16.417910447761194,83.5820895522388,Perugia - Università degli studi
Prof. Associati/e,-41.57303370786517,58.42696629213483,Perugia - Università degli studi
Ricercatori/Ricercatrici,-50.79365079365079,49.2063492063492,Perugia - Università degli studi
Assegnisti/e di Ricerca,-40.4040404040404,59.59595959595959,Perugia - Università degli studi
Dottori/Dottoresse,-40.909090909090914,59.09090909090909,Perugia - Università degli studi
Dottorandi/e,-46.788990825688074,53.21100917431193,Perugia - Università degli studi
Laureati/e,-44.6360153256705,55.3639846743295,Perugia - Università degli studi
Iscritti/e,-44.87781194368021,55.122188056319786,Perugia - Università degli studi
Prof. Ordinari/e,-19.148936170212767,80.85106382978722,Siena - Università degli studi
Prof. Associati/e,-42.592592592592595,57.407407407407405,Siena - Università degli studi
Ricercatori/Ricercatrici,-49.39759036144578,50.602409638554214,Siena - Università degli studi
Assegnisti/e di Ricerca,-51.35135135135135,48.64864864864865,Siena - Università degli studi
Dottori/Dottoresse,-59.72222222222222,40.27777777777778,Siena - Università degli studi
Dottorandi/e,-56.15384615384615,43.84615384615385,Siena - Università degli studi
Laureati/e,-55.118110236220474,44.881889763779526,Siena - Università degli studi
Iscritti/e,-53.25877362128808,46.741226378711914,Siena - Università degli studi
Prof. Ordinari/e,-17.412935323383085,82.58706467661692,Pisa - Università degli studi
Prof. Associati/e,-33.04347826086956,66.95652173913044,Pisa - Università degli studi
Ricercatori/Ricercatrici,-36.53846153846153,63.46153846153846,Pisa - Università degli studi
Assegnisti/e di Ricerca,-31.379310344827587,68.62068965517241,Pisa - Università degli studi
Dottori/Dottoresse,-38.13559322033898,61.86440677966102,Pisa - Università degli studi
Dottorandi/e,-33.15217391304348,66.84782608695652,Pisa - Università degli studi
Laureati/e,-38.08299669482189,61.917003305178106,Pisa - Università degli studi
Iscritti/e,-36.713866564612836,63.28613343538717,Pisa - Università degli studi
Prof. Ordinari/e,-25.949367088607595,74.0506329113924,Firenze - Università degli studi
Prof. Associati/e,-36.94581280788177,63.05418719211823,Firenze - Università degli studi
Ricercatori/Ricercatrici,-38.009049773755656,61.990950226244344,Firenze - Università degli studi
Assegnisti/e di Ricerca,-42.857142857142854,57.14285714285714,Firenze - Università degli studi
Dottori/Dottoresse,-38.857142857142854,61.142857142857146,Firenze - Università degli studi
Dottorandi/e,-41.70854271356784,58.291457286432156,Firenze - Università degli studi
Laureati/e,-46.771037181996086,53.22896281800391,Firenze - Università degli studi
Iscritti/e,-44.43640572999566,55.563594270004344,Firenze - Università degli studi
Prof. Ordinari/e,-16.0,84.0,Camerino - Università degli studi
Prof. Associati/e,-39.56043956043956,60.43956043956044,Camerino - Università degli studi
Ricercatori/Ricercatrici,-37.03703703703704,62.96296296296296,Camerino - Università degli studi
